# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11462336068
#
# Overhead  Symbol                                                                                                                                                                                                                                IPC   [IPC Coverage]
# ........  ....................................................................................................................................................................................................................................  ....................
#
     0.15%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_hash___redArg                                                                                                                                                                           -      -
     0.15%  [.] lean_free_object                                                                                                                                                                                                                  -      -
     0.15%  [.] lean::validate_utf8(unsigned char const*, unsigned long, unsigned long&, unsigned long&)                                                                                                                                          -      -
     0.12%  [.] __gmpz_realloc                                                                                                                                                                                                                    -      -
     0.12%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_initialPartition_spec__2                                                                                                  -      -
     0.12%  [.] lp_Hex_List_filterTR_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__0                                                                                                                                                       -      -
     0.12%  [.] __gmp_default_allocate                                                                                                                                                                                                            -      -
     0.12%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run___redArg                                                                                                                                    -      -
     0.11%  [.] lean::utf8_strlen(char const*, unsigned long)                                                                                                                                                                                     -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_updatecan_spec__1___redArg                                                                                           -      -
     0.08%  [.] l_List_toArrayAux___redArg                                                                                                                                                                                                        -      -
     0.08%  [.] lean::mul2k(lean::mpz&, lean::mpz const&, unsigned int)                                                                                                                                                                           -      -
     0.08%  [.] l_List_lengthTR___redArg                                                                                                                                                                                                          -      -
     0.08%  [.] lean_inc_heartbeat                                                                                                                                                                                                                -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__0___redArg                                                                                          -      -
     0.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__3___redArg                                                                                      -      -
