# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 11849475144
#
# Overhead  Symbol                                                                                                                                                                                                                                                                               IPC   [IPC Coverage]
# ........  ...................................................................................................................................................................................................................................................................................  ....................
#
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_updatecan_spec__0___redArg                                                                                                                                          -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__1___redArg                                                                                                                                     -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__1___redArg                                                                                                                                    -      -
     0.03%  [.] __gmp_default_reallocate                                                                                                                                                                                                                                                         -      -
     0.03%  [.] l___private_Init_Data_Array_Basic_0__Array_anyMUnsafe_any___redArg                                                                                                                                                                                                               -      -
     0.03%  [.] mi_malloc                                                                                                                                                                                                                                                                        -      -
     0.03%  [.] lean_copy_expand_array                                                                                                                                                                                                                                                           -      -
     0.03%  [.] lean::validate_utf8_one(unsigned char const*, unsigned long, unsigned long&)                                                                                                                                                                                                     -      -
     0.03%  [.] lean::utf8_strlen(char const*, unsigned long)                                                                                                                                                                                                                                    -      -
     0.03%  [.] lean::validate_utf8(unsigned char const*, unsigned long, unsigned long&, unsigned long&)                                                                                                                                                                                         -      -
     0.00%  [.] _dl_relocate_object_no_relro                                                                                                                                                                                                                                                     -      -
     0.00%  [.] __GI___tunables_init                                                                                                                                                                                                                                                             -      -
     0.00%  [.] _dl_start                                                                                                                                                                                                                                                                        -      -
     0.00%  [k] 0xffffffffae201280                                                                                                                                                                                                                                                               -      -


#
# (Tip: Limit to show entries above 5% only: perf report --percent-limit 5)
#
