# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 13906702211
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     1.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitSingleton                                                                                                                                                                                                                                                                                                                                                         -      -
     1.08%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_hash___redArg                                                                                                                                                                                                                                                                                                                                                 -      -
     1.08%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__2_spec__2___redArg                                                                                                                                                                                -      -
     1.05%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_distvals_spec__0___redArg                                                                                                                                                                                                                                                                  -      -
     1.02%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__2___redArg                                                                                                                                                                                                                                                               -      -
     0.98%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.95%  [.] mi_malloc                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.86%  [.] mi_page_queue_remove(mi_page_queue_s*, mi_page_s*)                                                                                                                                                                                                                                                                                                                                                      -      -
     0.86%  [.] __gmpz_mul_2exp                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.79%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__1___redArg                                                                                                                                                                                                                                                                    -      -
     0.79%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__1___redArg                                                                                                                                                                                                                                                           -      -
     0.73%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__1___redArg                                                                                                                                                                                                                                                            -      -
     0.67%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_distvals_spec__1___redArg                                                                                                                                                                                                                                                                  -      -
     0.64%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__0___redArg                                                                                                                                                                                                                                                               -      -
     0.60%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitCounts                                                                                                                                                                                                                                                                                                                                                            -      -
     0.57%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__1___redArg                                                                                                                                                                                                                                                            -      -
     0.54%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__0___redArg                                                                                                                                                                                                                                                            -      -
     0.54%  [.] lean_free_object                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.48%  [.] l_List_lengthTR___redArg                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.44%  [.] __gmpz_add                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.41%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeTR_go___redArg                                                                                                                                                                                                                                                                                                                     -      -
     0.41%  [.] __gmp_default_allocate                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.38%  [.] mi_page_queue_find_free_ex(mi_theap_s*, mi_page_queue_s*, bool)                                                                                                                                                                                                                                                                                                                                         -      -
     0.35%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_splitRevAt_go___redArg                                                                                                                                                                                                                                                                                                                  -      -
     0.35%  [.] lean_array_push                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.35%  [.] __gmpz_init_set_ui                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.28%  [.] lean_inc_heartbeat                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.25%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3___lam__0                                                                                                                                                                                                                                                                 -      -
     0.25%  [.] lean::mpz::mpz(unsigned long)                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.25%  [.] lean_array_to_list_impl                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.22%  [.] __gmpz_realloc                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.19%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_insert                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.19%  [.] lean_apply_2                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.19%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__3___redArg                                                                                                                                                                                                                                                            -      -
     0.19%  [.] lean::mpz::get_size_t() const                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.16%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_push                                                                                                                                                                                                                                                                                                                                                          -      -
     0.16%  [.] l_List_toArrayAux___redArg                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.16%  [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.16%  [.] mi_page_queue_push(mi_theap_s*, mi_page_queue_s*, mi_page_s*)                                                                                                                                                                                                                                                                                                                                           -      -
     0.16%  [.] __gmpn_lshift_x86_64                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.13%  [.] lp_Hex_List_filterTR_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__0                                                                                                                                                                                                                                                                                                                             -      -
     0.13%  [.] __gmp_default_reallocate                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.13%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__4___redArg                                                                                                                                                                                                                                                               -      -
     0.13%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_cellstarts_spec__0___redArg                                                                                                                                                                                                                                                                -      -
     0.13%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__2___redArg                                                                                                                                                                                                                                                           -      -
     0.13%  [.] mi_bin(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.13%  [.] l_List_MergeSort_Internal_mergeSortTR_u2082___redArg                                                                                                                                                                                                                                                                                                                                                    -      -
     0.13%  [.] l_Nat_testBit                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.10%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run_x27___redArg                                                                                                                                                                                                                                                                                                      -      -
     0.10%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitNontrivial                                                                                                                                                                                                                                                                                                                                                        -      -
     0.10%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__2_spec__2___redArg                                                                                                                                                                        -      -
     0.10%  [.] mi_free_size                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.10%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run___redArg                                                                                                                                                                                                                                                                                                          -      -
     0.10%  [.] lean_list_to_array                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.10%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__3                                                                                                                                                                                                                                                                         -      -
     0.09%  [.] l_List_reverseAux___redArg                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.07%  [.] l_Lean_PersistentHashMap_insertAux___at___00Lean_PersistentHashMap_insert___at___00Lean_Parser_SyntaxNodeKindSet_insert_spec__0_spec__0___redArg                                                                                                                                                                                                                                                        -      -
     0.06%  [.] l_Std_DTreeMap_Internal_Impl_insert___at___00Lean_NameMap_insert_spec__0___redArg                                                                                                                                                                                                                                                                                                                       -      -
     0.06%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Generic_resume___at___00Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3_spec__4_spec__5___redArg  -      -
     0.06%  [.] lp_Hex_Hex_GraphIso_Nauty_breakout_go                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.06%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__2___redArg                                                                                                                                                                                                                                                            -      -
     0.06%  [.] mi_arena_schedule_purge(mi_arena_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                      -      -
     0.06%  [.] l_List_range_loop                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.06%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_erase                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.06%  [.] lean::mul2k(lean::mpz&, lean::mpz const&, unsigned int)                                                                                                                                                                                                                                                                                                                                                 -      -
     0.06%  [.] __gmpz_clear                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.05%  [.] l___private_Init_Data_String_Extra_0__String_findLeadingSpacesSize_findNextLine                                                                                                                                                                                                                                                                                                                         -      -
     0.04%  [.] l_Lean_Parser_node                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] l___private_Lean_Data_Trie_0__Lean_Data_Trie_find_x3f_loop___redArg                                                                                                                                                                                                                                                                                                                                     -      -
     0.03%  [.] l_Lean_Parser_symbolInfo___lam__0                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.03%  [.] initialize_Init_Data_Array_Sort_Lemmas                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.03%  [.] l_List_MergeSort_Internal_splitRevInTwo_x27___redArg                                                                                                                                                                                                                                                                                                                                                    -      -
     0.03%  [.] l_List_reverse___redArg                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.03%  [.] realloc@plt                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.03%  [.] lean::mpz::~mpz()                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.03%  [.] _mi_theap_collect_retired(mi_theap_s*, bool)                                                                                                                                                                                                                                                                                                                                                            -      -
     0.03%  [.] lean::mpz::is_size_t() const                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.03%  [.] _mi_arenas_collect(bool, bool, mi_tld_s*)                                                                                                                                                                                                                                                                                                                                                               -      -
     0.03%  [k] 0xffffffffad53a06a                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] l_Nat_decLe___boxed                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.03%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_indirect_spec__0___redArg                                                                                                                                                                                                                                                             -      -
     0.03%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__3___redArg                                                                                                                                                                                                                                                               -      -
     0.03%  [.] lean::mpz::mpz(unsigned int)                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.03%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_Sort_median                                                                                                                                                                                                                                                                                                                                                            -      -
     0.03%  [.] __gmp_default_free                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] lean_obj_once_cold                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] l_Lean_PersistentHashMap_insertAux___at___00Lean_PersistentHashMap_insert___at___00__private_Lean_Meta_Tactic_Simp_Simproc_0__Lean_Meta_Simp_initFn_00___x40_Lean_Meta_Tactic_Simp_Simproc_1881898657____hygCtx___hyg_2__spec__0_spec__0___redArg                                                                                                                                                       -      -
     0.03%  [k] 0xffffffffae201280                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.03%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_HexGraphIso_SparseBench_0__Hex_GraphIsoSparseBench_read_spec__0___redArg                                                                                                                                                                                                                                   -      -
     0.03%  [.] l_List_eraseRepsBy___redArg                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.00%  [.] _dl_debug_update                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.00%  [.] _dl_start                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.00%  [.] _start                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.00%  [k] 0xffffffffae2015f0                                                                                                                                                                                                                                                                                                                                                                                      -      -


#
# (Tip: To show time in nanoseconds in record/report add --ns)
#
