# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12840710039
#
# Overhead  Symbol                                                                                                                                                                                                                                IPC   [IPC Coverage]
# ........  ....................................................................................................................................................................................................................................  ....................
#
     0.31%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_erase                                                                                                                                                                                              -      -
     0.31%  [.] l_List_lengthTR___redArg                                                                                                                                                                                                          -      -
     0.28%  [.] l_Nat_decLe___boxed                                                                                                                                                                                                               -      -
     0.28%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3___lam__0                                                                                           -      -
     0.28%  [.] __gmp_default_allocate                                                                                                                                                                                                            -      -
     0.24%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_RefineSt_push                                                                                                                                                                                    -      -
     0.24%  [.] __gmpz_realloc                                                                                                                                                                                                                    -      -
     0.21%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run___redArg                                                                                                                                    -      -
     0.21%  [.] lp_Hex_Hex_GraphIso_Nauty_VSet_insert                                                                                                                                                                                             -      -
     0.21%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_initialPartition_spec__1___redArg                                                                                    -      -
     0.20%  [.] lean::validate_utf8_one(unsigned char const*, unsigned long, unsigned long&)                                                                                                                                                      -      -
     0.20%  [.] lean_apply_1                                                                                                                                                                                                                      -      -
     0.17%  [.] l_List_toArrayAux___redArg                                                                                                                                                                                                        -      -
     0.17%  [.] __gmpz_init_set_ui                                                                                                                                                                                                                -      -
     0.17%  [.] lean::mpz::mpz(unsigned long)                                                                                                                                                                                                     -      -
     0.17%  [.] realloc                                                                                                                                                                                                                           -      -
     0.14%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__4___redArg                                                                                         -      -
     0.14%  [.] lean_array_to_list_impl                                                                                                                                                                                                           -      -
     0.14%  [.] lean_inc_heartbeat                                                                                                                                                                                                                -      -
     0.14%  [.] lean_mk_array                                                                                                                                                                                                                     -      -
     0.14%  [.] _mi_malloc_generic(mi_theap_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                     -      -
     0.10%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitNontrivial                                                                                                                                                                                  -      -
     0.10%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_inverse_spec__0___redArg                                                                                             -      -
     0.10%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_initialPartition_spec__2                                                                                                  -      -
     0.10%  [.] lean_list_to_array                                                                                                                                                                                                                -      -
     0.10%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_mapMUnsafe_map___at___00Hex_GraphIso_Nauty_Sparse_runColored_spec__0                                                                                                              -      -
     0.10%  [.] lean::validate_utf8(unsigned char const*, unsigned long, unsigned long&, unsigned long&)                                                                                                                                          -      -
     0.07%  [.] l_Lean_Parser_epsilonInfo___lam__0___boxed                                                                                                                                                                                        -      -
     0.07%  [.] realloc@plt                                                                                                                                                                                                                       -      -
     0.07%  [.] mi_free_size                                                                                                                                                                                                                      -      -
     0.07%  [.] lean_nat_shiftl                                                                                                                                                                                                                   -      -
     0.07%  [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                   -      -
     0.07%  [.] free@plt                                                                                                                                                                                                                          -      -
     0.07%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run_x27___redArg                                                                                                                                -      -
     0.07%  [.] lean::mul2k(lean::mpz&, lean::mpz const&, unsigned int)                                                                                                                                                                           -      -
     0.07%  [.] lean::mpz::get_size_t() const                                                                                                                                                                                                     -      -
