# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 12451310811
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                      IPC   [IPC Coverage]
# ........  ..........................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.14%  [.] lean_apply_2                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.14%  [.] l_List_lengthTR___redArg                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.14%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_splitRevAt_go___redArg                                                                                                                                                                                                                                                                                                                  -      -
     0.14%  [.] mi_page_queue_remove(mi_page_queue_s*, mi_page_s*)                                                                                                                                                                                                                                                                                                                                                      -      -
     0.14%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_splitSingleton                                                                                                                                                                                                                                                                                                                                                         -      -
     0.14%  [.] mi_bitmap_clearN(mi_bitmap_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                            -      -
     0.11%  [.] mi_arena_schedule_purge(mi_arena_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                      -      -
     0.11%  [.] l___private_Init_Data_List_Sort_Impl_0__List_MergeSort_Internal_mergeSortTR_u2082_run___redArg                                                                                                                                                                                                                                                                                                          -      -
     0.11%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__0___redArg                                                                                                                                                                                                                                                           -      -
     0.11%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_classify_spec__0___redArg                                                                                                                                                                                                                                                                  -      -
     0.11%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_fmperm_spec__1___redArg                                                                                                                                                                                                                                                                           -      -
     0.11%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__2_spec__2___redArg                                                                                                                                                                                -      -
     0.11%  [.] lean::mpz::get_size_t() const                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.11%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1                                                                                                                                                                                                      -      -
     0.11%  [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.10%  [.] lean_apply_1                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.07%  [.] mi_arenas_page_regular_alloc(mi_theap_s*, unsigned long, unsigned long)                                                                                                                                                                                                                                                                                                                                 -      -
     0.07%  [.] __gmpz_init_set_ui                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_orbjoin_spec__0___redArg                                                                                                                                                                                                                                                                          -      -
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitCounts_spec__0___redArg                                                                                                                                                                                                                                                               -      -
     0.07%  [.] mi_bchunk_setN(mi_bchunk_s*, unsigned long, unsigned long, unsigned long*)                                                                                                                                                                                                                                                                                                                              -      -
     0.07%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_refine                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.07%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3                                                                                                                                                                                                                                                                          -      -
     0.07%  [.] lp_Hex___private_Init_Data_Array_Basic_0__Array_forIn_x27Unsafe_loop___at___00Hex_GraphIso_Nauty_Sparse_splitSingleton_spec__3___lam__0                                                                                                                                                                                                                                                                 -      -
     0.07%  [.] mi_page_queue_find_free_ex(mi_theap_s*, mi_page_queue_s*, bool)                                                                                                                                                                                                                                                                                                                                         -      -
     0.07%  [.] mi_bchunk_try_find_and_clear(mi_bchunk_s*, unsigned long*)                                                                                                                                                                                                                                                                                                                                              -      -
     0.07%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3                                                                                                                                                  -      -
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_distvals_spec__1___redArg                                                                                                                                                                                                                                                                  -      -
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Generic_resume___at___00Hex_GraphIso_Nauty_Generic_advance___at___00Hex_GraphIso_Nauty_Generic_sweepStep___at___00Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0_spec__1_spec__3_spec__4_spec__5___redArg  -      -
     0.07%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_splitNontrivial_spec__2___redArg                                                                                                                                                                                                                                                           -      -
     0.07%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0___lam__0___boxed                                                                                                                                                                                                                                                                                             -      -
     0.07%  [.] lp_Hex_Hex_GraphIso_Nauty_Sparse_bestcell                                                                                                                                                                                                                                                                                                                                                               -      -
     0.06%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00__private_HexGraphIso_SparseBench_0__Hex_GraphIsoSparseBench_read_spec__0___redArg                                                                                                                                                                                                                                   -      -
     0.06%  [.] l_Std_DHashMap_Internal_AssocList_foldrM___at___00Lean_manualDomains_spec__0                                                                                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0___lam__0___boxed                                                                                                                                                                                                                                           -      -
     0.04%  [.] l___private_Lean_Data_Trie_0__Lean_Data_Trie_find_x3f_loop___redArg                                                                                                                                                                                                                                                                                                                                     -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_Sort_partition_spec__0___redArg                                                                                                                                                                                                                                                            -      -
     0.04%  [.] lp_Hex___private_Init_Data_Range_Basic_0__Std_Legacy_Range_forIn_x27_loop___at___00Hex_GraphIso_Nauty_Sparse_refine_spec__1___redArg                                                                                                                                                                                                                                                                    -      -
     0.04%  [.] l_List_toArrayAux___redArg                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.04%  [.] mi_bin(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0                                                                                                                                                                                                                                                                                                              -      -
     0.04%  [.] lp_Hex_Hex_GraphIso_Nauty_Generic_sweep___at___00Hex_GraphIso_Nauty_Generic_node___at___00Hex_GraphIso_Nauty_Sparse_runState_spec__0_spec__0                                                                                                                                                                                                                                                            -      -
