n,step,dividend_degree,divisor_degree,next_remainder_degree,next_remainder_zero,divisor_num_max,divisor_den_max,divisor_total_bits,cofactor_num_max,cofactor_den_max,coefficient_ops,bit_work,limb_work
48,39,10,9,8,false,326,328,5851,322,325,187,380028,6408
48,40,9,8,7,false,342,341,5452,337,341,188,398426,6771
48,41,8,7,6,false,356,354,4937,351,353,189,416076,6974
48,42,7,6,5,false,365,365,4348,360,364,190,432041,7270
48,43,6,5,4,false,377,375,3736,370,373,191,447008,7400
48,44,5,4,3,false,391,393,3120,386,390,192,467886,7732
48,45,4,3,2,false,403,404,2419,398,403,193,487530,8224
48,46,3,2,1,false,415,415,1660,408,412,194,504429,8379
48,47,2,1,0,false,426,429,857,420,425,195,522347,8649
48,48,1,0,0,true,1,1,2,437,442,196,334469,5598
64,0,63,64,63,false,2,1,68,0,0,66,491,329
64,1,64,63,62,false,4,4,313,1,2,197,2220,914
64,2,63,62,61,false,11,9,931,6,7,198,7413,918
64,3,62,61,60,false,18,20,2065,15,18,199,17817,922
64,4,61,60,59,false,31,32,3359,26,29,200,30134,932
64,5,60,59,58,false,41,42,4186,31,37,201,39884,1181
64,6,59,58,57,false,49,44,4958,42,42,202,49140,1334
64,7,58,57,56,false,55,50,5367,46,46,203,55339,1352
64,8,57,56,55,false,61,58,6331,55,57,204,65548,1360
64,9,56,55,54,false,67,66,6724,59,61,205,72927,1404
64,10,55,54,53,false,72,70,7255,65,68,206,80759,1829
64,11,54,53,52,false,85,81,8205,79,79,207,93847,2194
64,12,53,52,51,false,96,95,9656,92,94,208,111328,2236
64,13,52,51,50,false,106,103,10005,99,101,209,121034,2359
64,14,51,50,49,false,107,106,9907,99,102,210,124439,2578
64,15,50,49,48,false,108,106,9732,100,101,211,125725,2655
64,16,49,48,47,false,107,105,9551,101,101,212,126411,2658
64,17,48,47,46,false,108,107,9577,101,104,213,129512,2695
64,18,47,46,45,false,115,114,9932,108,110,214,137142,2710
64,19,46,45,44,false,121,117,10284,116,116,215,146953,2760
64,20,45,44,43,false,132,128,11066,128,128,216,160079,2806
64,21,44,43,42,false,138,137,11378,132,136,217,171521,3258
64,22,43,42,41,false,143,143,11500,136,140,218,177944,3645
64,23,42,41,40,false,144,140,11130,137,138,219,180990,3670
64,24,41,40,39,false,157,154,11991,151,152,220,195891,3706
64,25,40,39,38,false,158,156,11903,152,153,221,204180,3747
64,26,39,38,37,false,164,160,11995,158,159,222,212530,3810
64,27,38,37,36,false,173,173,12461,166,172,223,226624,4147
64,28,37,36,35,false,186,184,12845,178,180,224,240403,4281
64,29,36,35,34,false,190,189,12924,184,187,225,252396,4312
64,30,35,34,33,false,204,203,13500,198,201,226,269481,4781
64,31,34,33,32,false,206,201,13135,199,197,227,275483,5206
64,32,33,32,31,false,203,200,12737,198,199,228,277286,5237
64,33,32,31,30,false,211,209,12851,204,206,229,288121,5299
